339.735	76.13
340.108	61.67
340.482	52.15
340.855	45.46
341.228	31.25
341.602	13.07
341.975	-6.62
342.348	-14.27
342.721	-20.18
343.094	-25.67
343.468	-29.22
343.841	-25.24
344.214	-17.17
344.587	-9.85
344.96	-1.35
345.333	7.9
345.706	15.87
346.079	25.01
346.452	25.34
346.824	25.55
347.197	34.16
347.57	36.42
347.943	42.02
348.316	53.21
348.688	57.4
349.061	67.2
349.434	77.63
349.806	79.57
350.179	89.47
350.552	99.05
350.924	105.83
351.297	116.48
351.669	124.66
352.042	132.95
352.414	141.77
352.787	142.52
353.159	144.57
353.531	143.71
353.904	147.58
354.276	144.78
354.648	138.76
355.02	141.66
355.393	145.11
355.765	143.17
356.137	145.21
356.509	137.9
356.881	139.3
357.253	146.29
357.625	145.21
357.997	144.35
358.369	146.61
358.741	143.06
359.113	150.38
359.485	167.17
359.857	169
360.229	168.24
360.6	172.01
360.972	175.67
361.344	176.1
361.716	171.36
362.087	153.72
362.459	150.81
362.831	148.77
363.202	149.3
363.574	142.42
363.945	141.99
364.317	136.93
364.688	137.57
365.06	131.44
365.431	135.21
365.803	126.71
366.174	129.93
366.545	131.55
366.917	136.82
367.288	136.82
367.659	136.39
368.03	130.9
368.402	129.5
368.773	130.47
369.144	131.98
369.515	127.67
369.886	131.12
370.257	138.87
370.628	140.48
370.999	142.42
371.37	144.46
371.741	143.06
372.112	152.64
372.483	147.15
372.853	146.18
373.224	146.72
373.595	151.35
373.966	146.07
374.336	144.14
374.707	140.48
375.078	146.18
375.448	165.23
375.819	167.38
376.19	164.37
376.56	160.39
376.931	159.74
377.301	155.87
377.671	156.19
378.042	137.25
378.412	132.84
378.783	138.97
379.153	145.54
379.523	149.84
379.893	153.5
380.264	150.27
380.634	151.56
381.004	150.38
381.374	148.44
381.744	149.41
382.114	152.75
382.484	152.32
382.854	152.53
383.224	152.85
383.594	159.53
383.964	158.56
384.334	157.59
384.704	155.11
385.074	147.26
385.444	142.2
385.814	143.17
386.183	145
386.553	144.46
386.923	148.44
387.292	143.71
387.662	151.35
388.032	160.06
388.401	162.54
388.771	158.77
389.14	160.17
389.51	155.01
389.879	155.44
390.248	157.48
390.618	149.95
390.987	147.26
391.356	143.38
391.726	142.09
392.095	140.91
392.464	141.23
392.833	143.06
393.203	148.77
393.572	145
393.941	146.29
394.31	148.44
394.679	148.87
395.048	149.63
395.417	145.43
395.786	155.98
396.155	156.41
396.524	188.26
396.893	189.33
397.261	187.72
397.63	191.7
397.999	190.73
398.368	179.86
398.736	181.37
399.105	166.31
399.474	165.12
399.842	164.26
400.211	163.19
400.579	163.19
400.948	165.88
401.317	163.19
401.685	145.97
402.053	138.76
402.422	145.21
402.79	144.57
403.158	147.9
403.527	149.41
403.895	149.73
404.263	147.37
404.632	155.22
405	151.67
405.368	150.7
405.736	146.18
406.104	141.12
406.472	139.62
406.84	144.25
407.208	146.83
407.576	154.47
407.944	156.94
408.312	158.02
408.68	157.05
409.048	156.84
409.415	158.02
409.783	151.67
410.151	144.46
410.519	137.9
410.886	139.73
411.254	139.62
411.622	144.57
411.989	141.12
412.357	139.94
412.724	137.25
413.092	139.73
413.459	139.08
413.827	132.3
