339.735	68.86
340.108	57.77
340.482	37.82
340.855	20.37
341.228	-2.02
341.602	-14.20
341.975	-27.57
342.348	-31.52
342.721	-31.69
343.094	-24.58
343.468	-21.78
343.841	-15.49
344.214	-0.26
344.587	14.59
344.960	22.63
345.333	26.78
345.706	29.04
346.079	40.72
346.452	50.53
346.824	53.66
347.197	55.46
347.570	67.50
347.943	82.06
348.316	89.41
348.688	95.43
349.061	108.51
349.434	123.24
349.806	134.71
350.179	140.30
350.552	145.17
350.924	155.11
351.297	155.30
351.669	155.18
352.042	153.89
352.414	154.64
352.787	156.77
353.159	155.83
353.531	152.32
353.904	158.47
354.276	162.60
354.648	160.12
355.020	161.46
355.393	170.01
355.765	172.66
356.137	178.62
356.509	172.70
356.881	167.07
357.253	168.71
357.625	169.76
357.997	160.86
358.369	158.71
358.741	167.43
359.113	167.98
359.485	168.69
359.857	171.12
360.229	164.83
360.600	162.34
360.972	155.35
361.344	142.07
361.716	142.69
362.087	139.86
362.459	133.01
362.831	135.62
363.202	133.37
363.574	139.89
363.945	140.43
364.317	136.97
364.688	135.23
365.060	136.36
365.431	138.64
365.803	139.37
366.174	136.19
366.545	132.98
366.917	136.76
367.288	144.71
367.659	149.01
368.030	150.66
368.402	149.01
368.773	152.86
369.144	156.67
369.515	154.04
369.886	149.51
370.257	145.64
370.628	140.52
370.999	141.60
371.370	139.75
371.741	137.22
372.112	138.64
372.483	136.56
372.853	142.46
373.224	144.54
373.595	142.78
373.966	146.74
374.336	155.76
374.707	172.67
375.078	178.84
375.448	172.74
375.819	175.71
376.190	187.99
376.560	186.85
376.931	180.05
377.301	163.51
377.671	171.36
378.042	177.15
378.412	169.23
378.783	160.20
379.153	158.04
379.523	160.41
379.893	155.22
380.264	149.41
380.634	143.80
381.004	148.52
381.374	150.12
381.744	149.10
382.114	149.05
382.484	157.87
382.854	158.59
383.224	160.83
383.594	160.85
383.964	164.25
384.334	164.06
384.704	157.85
385.074	154.11
385.444	153.91
385.814	153.77
386.183	154.90
386.553	145.68
386.923	149.11
387.292	154.87
387.662	153.74
388.032	149.76
388.401	150.91
388.771	152.95
389.140	157.87
389.510	154.95
389.879	157.59
390.248	154.99
390.618	158.88
390.987	158.53
391.356	162.67
391.726	165.27
392.095	165.53
392.464	165.31
392.833	167.97
393.203	162.42
393.572	165.22
393.941	155.27
394.310	158.68
394.679	158.74
395.048	160.84
395.417	159.64
395.786	188.71
396.155	187.81
396.524	190.78
396.893	183.23
397.261	181.70
397.630	176.03
397.999	176.46
398.368	167.15
398.736	166.07
399.105	161.93
399.474	168.73
399.842	168.37
400.211	169.87
400.579	169.99
400.948	156.58
401.317	155.07
401.685	162.50
402.053	160.40
402.422	159.01
402.790	161.05
403.158	162.13
403.527	155.92
403.895	157.40
404.263	150.23
404.632	144.15
405.000	144.11
405.368	145.29
405.736	147.03
406.104	154.09
406.472	152.08
406.840	165.95
407.208	168.84
407.576	169.27
407.944	163.74
408.312	162.44
408.680	163.34
409.048	163.06
409.415	152.53
409.783	155.10
410.151	153.49
410.519	155.21
410.886	151.16
411.254	143.61
411.622	146.14
411.989	147.59
412.357	147.26
412.724	154.27
413.092	153.71
413.459	153.77
413.827	153.78
414.194	153.88
414.561	153.95
414.929	153.41
415.296	148.27
415.663	148.53
416.030	148.34
416.398	153.22
416.765	147.29
417.132	141.83
417.499	141.57
417.866	144.01
418.233	136.57
418.600	139.65
418.967	139.26
419.334	144.51
419.701	146.22
420.068	141.58
420.435	137.20
420.802	146.60
421.168	150.39
421.535	148.52
421.902	146.76
422.269	153.82
422.635	163.99
423.002	168.24
423.369	160.50
423.735	157.43
424.102	157.42
424.468	162.57
424.835	163.98
425.201	158.58
425.567	162.94
425.934	165.46
426.300	167.88
426.667	166.59
427.033	168.53
427.399	166.52
427.765	166.55
428.131	162.38
428.498	168.67
428.864	166.61
429.230	167.81
429.596	166.29
429.962	162.84
430.328	166.36
430.694	173.60
431.060	169.00
431.426	174.51
431.792	176.54
432.157	173.14
432.523	178.60
432.889	175.01
433.255	169.05
433.620	170.45
433.986	166.50
434.352	162.26
434.717	159.18
435.083	158.97
435.448	168.31
435.814	165.48
436.179	162.75
436.545	162.16
436.910	165.90
437.276	169.36
437.641	166.59
438.006	163.25
438.372	167.27
438.737	174.43
439.102	177.53
439.467	182.62
439.832	183.35
440.197	182.65
440.563	174.08
440.928	174.86
441.293	168.44
441.658	169.29
442.023	164.97
442.387	169.57
442.752	176.17
443.117	185.61
443.482	184.39
443.847	192.39
444.212	197.54
444.576	202.92
444.941	199.68
445.306	196.80
445.670	196.47
446.035	198.33
446.399	196.31
446.764	193.73
447.128	196.86
447.493	200.67
447.857	199.59
448.222	201.05
448.586	196.69
448.950	196.68
449.315	198.85
449.679	193.80
450.043	188.74
450.407	198.54
450.772	196.66
451.136	200.87
451.500	210.83
451.864	212.66
452.228	215.22
452.592	222.29
452.956	220.86
453.320	225.34
453.684	225.62
454.047	223.19
454.411	220.54
454.775	220.78
455.139	216.22
455.503	223.09
455.866	223.07
456.230	224.48
456.594	221.13
456.957	223.10
457.321	225.03
457.684	228.37
458.048	219.00
458.411	212.02
458.775	214.98
459.138	219.03
459.501	213.75
459.865	218.97
460.228	219.55
460.591	220.66
460.955	222.82
461.318	217.95
461.681	214.87
462.044	216.26
462.407	205.54
462.770	201.02
463.133	197.98
463.496	197.81
463.859	200.32
464.222	196.46
464.585	198.33
464.948	204.69
465.311	204.87
465.674	213.86
466.036	213.53
466.399	212.13
466.762	217.08
467.124	214.94
467.487	207.33
467.850	203.71
468.212	193.84
468.575	193.70
468.937	194.51
469.300	187.33
469.662	184.08
470.024	193.87
470.387	199.13
470.749	200.31
471.111	199.45
471.474	197.44
471.836	201.31
472.198	205.77
472.560	195.78
472.922	191.84
473.284	189.33
473.646	185.28
474.008	183.92
